"behavioral_touch_face","health_worker","health_insurance_0","child_under_6_months","opinion_h1n1_vacc_effective","employment_industry_fcxhlnwr","employment_occupation_NA","doctor_recc_seasonal","chronic_med_condition","h1n1_concern","employment_occupation_vlluhbov","doctor_recc_h1n1","behavioral_avoidance","employment_occupation_qxajmpny","opinion_seas_vacc_effective","employment_occupation_pvmttkik","employment_occupation_ukymxvdu","employment_occupation_ccgxvspp","hhs_geo_region_atmpeygn","employment_occupation_cmhcxjea","health_insurance_1","employment_industry_arjwrbjb","behavioral_outside_home","employment_industry_ldnlellj","employment_industry_qnlwzans","employment_occupation_dcjcmpih","opinion_h1n1_sick_from_vacc"
0,1,0,0,1,0,0,0,1,0.666666666666667,0,1,0,0,0.75,0,0,0,0,0,1,0,0,0,0,0,0.25
0,0,0,0,0.75,0,1,0,0,0.666666666666667,0,0,1,0,0.75,0,0,0,1,0,0,0,0,0,0,0,0.25
1,0,0,0,0.75,0,0,0,1,0.666666666666667,0,0,1,0,0.75,0,0,0,0,0,1,0,0,1,0,0,0.25
1,0,0,0,0.75,1,0,0,1,0.333333333333333,0,0,1,0,0.25,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,1,0.75,0,0,1,1,0.666666666666667,0,1,0,0,0.75,0,0,0,0,0,1,0,0,0,0,0,0.75
0,0,0,0,0.75,1,0,0,0,0.333333333333333,0,0,1,0,0.75,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0.333333333333333,0,0,0,0,0.75,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,0,1,0,0.666666666666667,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25
1,0,0,0,0.75,0,0,0,1,0.333333333333333,0,0,1,0,0.75,0,0,0,0,0,1,0,0,0,0,0,0.25
1,0,0,0,0.25,0,0,0,1,0.333333333333333,0,0,1,0,0.75,0,0,0,0,0,1,1,0,0,0,0,0.25
1,0,0,0,0.5,0,0,0,1,0.333333333333333,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0.75
0,0,0,0,0.5,0,1,1,0,0.666666666666667,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,1.65843525153336e-05,0,0.00887483534170473,0.225870444529425,0,1,0,0.00147352810996799,1,0,0,1,0,0.141462467900912,0,0,0,0,0,0,0,1,0,0,0,0.0748902978487289
1,0,0,0,0.75,0,0,0,0,0.666666666666667,0,0,1,1,0.75,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0.75,0,0,0,1,0.333333333333333,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.25
1,0,0,0,0.75,0,0,1,1,0.333333333333333,0,0,1,0,0.75,0,0,0,0,0,1,0,0,0,0,0,0.25
1,0,0,0,0.75,0,1,1,1,0.666666666666667,0,1,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.75
1,1,0,0,0.75,1,0,0,0,0.666666666666667,0,0,1,0,0.75,0,0,0,0,1,1,0,1,0,0,0,0.25
1,0,0,0,0.75,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.75
1,0,0,0,0.75,0,1,0,1,1,0,0,1,0,0.75,0,0,0,0,0,1,0,1,0,0,0,0.75
1,1,0,0,0.75,1,0,1,1,0.333333333333333,0,0,0,0,0.25,0,0,0,0,1,1,0,0,0,0,0,0
0,0,0,0,0.5,0,1,0,1,0.333333333333333,0,0,1,0,0.25,0,0,0,0,0,1,0,0,0,0,0,0.25
0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0.75,0,0,1,0,0,0,1,0,0,0.75,0,0,0,0,0,0,0,1,0,0,0,0.25
1,1,0,1,0.75,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0.5,0,1,0,0,0.333333333333333,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
1,1.33433273050545e-05,0,0.00136678352333348,0.25,0,1,0,4.19745288039349e-05,0.666666666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.5,0,1,1,1,0.666666666666667,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.75
0,1,0,0,0.5,0,1,0,0,0.333333333333333,0,0,0,0,0.75,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,0,1,0,1,1,1,0.666666666666667,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0.25
0,1,0,0,1,0,0,1,0,0.666666666666667,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0.75
1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0.333333333333333,0,0,1,0,0.75,0,0,0,0,0,1,0,0,0,0,0,0.25
1,0,0,1,1,1,0,1,0,0.666666666666667,0,1,1,0,0.75,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,1,0.25,0,1,1,1,1,0,0,1,0,0.75,0,0,0,1,0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,0,0,0.666666666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.75
0,0,0,0,0.75,0,0,1,0,0.666666666666667,0,0,0,1,0.75,0,0,0,0,0,0,0,0,0,0,0,0.75
0,0,0,0,0.75,0,0,0,1,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0.75,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0.25,0,0,1,1,0.666666666666667,0,0,1,0,0.75,0,0,0,0,0,1,1,0,0,0,0,1
1,1,0,0,0.25,1,0,1,0,0.333333333333333,0,0,1,0,0.25,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,0.75,0,0,0,0,0.666666666666667,0,0,1,0,0.75,0,0,0,0,0,0,0,1,0,0,0,0.25
0,0.000378867481727168,0,0.0742705202361788,0.75,0,1,1,0.000493764915828291,0.666666666666667,0,1,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.75
1,0,0,0,0.75,0,0,1,1,0.666666666666667,0,0,1,0,0.75,0,0,0,0,0,1,0,0,0,0,0,0.25
0,0,1,0,0.75,0,0,0,0,0.666666666666667,0,0,0,1,0.75,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0.75,0,0,0,1,0.666666666666667,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0.75
1,0,0,0,1,0,0,1,1,0.666666666666667,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.75
1,0,0,0,0,0,1,0,0,0.333333333333333,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.75
1,0,0,0,0.75,0,1,0,1,0.666666666666667,0,0,1,0,0.75,0,0,0,0,0,1,0,1,0,0,0,0.25
1,0,0,0,0.75,0,0,0,0,0.666666666666667,0,0,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0.75,1,0,0.00485594625218108,1,0.666666666666667,0,0.000621135432233431,0,0,0.75,0,0,0,0,1,0,0,0,0,0,0,0.25
1,7.37384964500845e-06,0,0.00656689785360717,0.210666242677334,0,1,1,0.00112379816367126,0.666666666666667,0,1,1,0,0.130839174726236,0,0,0,0,0,0,0,0,0,0,0,0.0389759802711901
1,0,0,0,1,0,0,0,0,0.666666666666667,0,0,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.25
1,0,0,0,0.75,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0.75,0,0,1,0,0.333333333333333,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0.25,0,0,1,0,0.666666666666667,0,0,1,0,0.25,0,0,0,0,0,1,0,1,0,0,0,0.25
1,0,0,0,0.75,0,0,0,0,0.666666666666667,0,0,1,0,0.75,0,0,0,0,0,0,0,1,1,0,0,0.25
0,0,1,0,0.75,0,1,0,0,0.333333333333333,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.25
1,0,0,0,0.75,0,1,0,1,0.666666666666667,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.75
1,0,0,0,1,0,1,1,0,0.666666666666667,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0.25
1,0,0,1,1,0,1,1,1,0.666666666666667,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0.5,1,0,1,0,0.333333333333333,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0.75
1,0,0,0,0.75,0,0,0,0,0,0,0,1,0,0.25,0,1,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0.75,1,0,1,0,1,0,0,0,0,0.5,0,0,0,0,1,1,0,0,0,0,0,0.25
1,0,0,0,1,0,0,0,0,0.333333333333333,0,0,1,0,0.75,0,0,0,1,0,1,0,0,0,0,0,0.25
1,0.00254552965238446,0,0.0242181202148007,1,0,1,0,0.000139539333708932,1,0,0,1,0,0.483026710520133,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0.5,0,1,1,1,0.666666666666667,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.25
1,0,0,0,0.75,0,1,1,0,0.333333333333333,0,1,1,0,0.75,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0.75,0,0,0,1,0.333333333333333,0,0,1,0,0.25,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0.75,0,1,0,0,0.666666666666667,0,0,1,0,0.75,0,0,0,1,0,0,0,1,0,0,0,0.25
1,0,1,0,0.75,0,0,0,1,0,0,0,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0.75,0,1,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0.75,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.25
1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25
1,0,0,0,0.75,0,0,0.000169993946214102,0,0.666666666666667,0,0.00311533764509739,1,0,0.75,0,0,0,0,0,0,1,1,0,0,0,0
1,0,1,1,1,0,1,0,0,0.333333333333333,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.75
1,0,1,0,0.5,0,0,0,1,0.333333333333333,0,0,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.25
1,0,0,0,0.75,0,1,0,0,0.666666666666667,0,0,1,0,0.25,0,0,0,0,0,0,0,1,0,0,0,0.25
0,0,0,0,0.5,0,0,0,1,0.666666666666667,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0.25
0,0,0,0,0.5,0,1,1,0,0,0,1,1,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0.5,0,1,0,0,0.666666666666667,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25
1,0,0,0,0.75,0,0,0,0,0.333333333333333,0,0,1,1,0.75,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0.25,0,1,0,0,1,0,0,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.75
0,0,0,0,0.75,0,1,0.0045950919687704,0,0.666666666666667,0,0.000689376754493919,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.25
1,0,0,0,0.75,0,0,0,0,1,0,0,1,0,0.75,0,0,0,0,0,1,0,0,0,0,0,1
1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0.75,0,1,0,0,1,0,0,1,0,0.75,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0.75,0,0,0,0,0.666666666666667,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.25
0,0,0,0,1,0,1,0,0,0.333333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0.75,1,0,1,0,0,0,1,0,0,0.25,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0.75,0,1,1,1,0.333333333333333,0,0,0,0,0.75,0,0,0,0,0,0,0,1,0,0,0,0.25
0,0,0,0,0.75,0,0,1,0,0,0,1,0,0,0.75,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0.5,0,1,0,1,0.666666666666667,0,0,1,0,0.75,0,0,0,1,0,0,0,0,0,0,0,0.25
0,0,1,0,0.75,0,0,0,0,0.333333333333333,0,0,0,0,0.75,0,0,0,1,0,0,0,0,0,0,0,0.25
1,0,0,0,0.75,0,1,0.00024754004237523,1,1,0,0.0040162880825393,0,0,0.75,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0.5,0,1,1,1,0.666666666666667,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1
1,0,0,0,0.5,0,1,0.00978171483235536,0,0,0,0.000139258442142516,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0.75,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0.25
1,0,0,0,1,0,0,1,0,0.666666666666667,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25
1,0,0,0,0,0,0,0,1,0.666666666666667,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,0.5,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0.5,0,1,1,0,0.666666666666667,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0,0,0.75,1,0,0,0,0.666666666666667,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.75
0,0,0,0,0,0,1,0,0,0.333333333333333,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0.75,0,1,0,0,0.666666666666667,0,0,1,0,0.75,0,0,0,1,0,1,0,1,0,0,0,0.25
1,1,0,0,0.25,1,1,0.0027791574474249,1,0.666666666666667,0,0.00603809733094003,0,0,0.75,0,0,0,0,0,0,0,1,0,0,0,0.25
0,0,0,0,0.75,0,0,0,0,0,0,0,1,0,0.75,0,0,1,0,0,1,0,0,0,0,0,0
0,0.0033104387804132,0,0.00727602712502582,0.5,0,1,1,0.000775150730323727,1,0,1,0.0775125357314009,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,1,0,0,1,0,0,0.25
1,0,0,1,0.75,0,1,0,0,0.333333333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.25,0,0,0,1,0.666666666666667,1,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.25
1,0,0,0,0.75,0,1,1,1,0.333333333333333,0,0,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.25
1,0,0,0,0.5,0,1,0,0,0.333333333333333,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0.75,0,0,0,1,0.666666666666667,0,1,1,0,0.75,0,0,0,0,0,1,0,1,0,0,0,0.75
0,0,0,0,0.25,0,1,0,1,0.666666666666667,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.25
1,1,0,0,0,0,1,0,1,0.333333333333333,0,0,1,0,0.25,0,0,0,0,0,1,0,1,0,0,0,0.75
1,0,1,1,0.75,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0.75
0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,1,0,0,1,0,0,0
0,0,0,0,0.5,0,0,0,0.000566403954111819,0.333333333333333,0,0,0,0,0.75,0,0,0,0,0,1,0,0,0,0,0,0.25
1,0,0,0,1,0,0,0,0,0.666666666666667,0,0,1,0,0.75,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0.25,0,1,0,0,0.666666666666667,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.75
1,0,0,0,0.75,0,1,1,0,1,0,1,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0.75,0,1,0,1,0.333333333333333,0,0,1,0,0.25,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0.25
1,1,0,0,0.25,1,0,0,0,0.333333333333333,0,0,1,0,0.75,0,0,0,0,1,0,0,0,0,0,0,0.75
0,0,0,0,0.75,0,0,0,0,0.333333333333333,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.25
1,1,0,0,0.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0.75,0,0,0,0,0.666666666666667,0,0,1,0,0.25,0,0,0,0,0,0,1,0,0,0,0,0.25
0,0,0,0,0.75,0,0,0,0,0.333333333333333,0,0,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.25
0,0,0,0,0.75,0,1,0,1,0.666666666666667,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.25
1,0,0,0,0.75,0,1,0,1,0.666666666666667,0,1,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.25,0,0,0,0,0.333333333333333,0,0,0,0,0.25,0,0,0,0,0,1,0,0,1,0,0,0.25
0,0,0,1,0.75,0,1,0,1,0.666666666666667,0,0,1,0,0.75,0,0,0,0,0,0,0,1,0,0,0,0.75
0,0,0,0,0.75,0,0,0,0,0.666666666666667,0,0,0,0,0.75,0,0,0,0,0,1,1,0,0,0,0,0.75
1,1,0,1,1,0,1,0,1,0.333333333333333,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.75
0,0,0,0,0.75,0,1,0,1,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.25
0,0.000384429146677597,0,0,1,0,0,1,0,0.333333333333333,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0.25
0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.75
1,0,0,0,0.75,0,1,1,1,1,0,0,1,0,0.75,0,0,0,0,0,0,0,1,0,0,0,0.75
1,0,1,0,0.75,0,1,0,0.000251374679631203,0.666666666666667,0,0,1,0,0.75,0,0,0,0,0,0,0,1,0,0,0,0.75
1,0,0,0,0.75,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0
1,0,0,0.00265027934073472,0.75,0,1,0,0,1,0,0,1,0,0.25,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0.5,0,0,0,0,0.333333333333333,0,0,1,0,0.75,0,0,0,0,0,1,0,0,0,0,0,0.25
0,0,1,0,0.75,0,0,0,1,0.333333333333333,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0.25,0,1,0.000673908668391523,0,0.333333333333333,0,0.00282949414675984,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0.5,0,1,0,0,0.666666666666667,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.75
1,0,0,0,0.5,0,1,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0.75,0,0,0,0,0.333333333333333,0,0,0,0,0.75,0,0,0,0,0,1,0,0,0,0,0,0.75
1,0,0,1,0.75,0,1,0,1,0.333333333333333,0,0,1,0,0.75,0,0,0,0,0,1,0,1,0,0,0,0
1,7.53773129761131e-06,0,0.0391561189431618,0.191262985303068,0,1,5.4571812379666e-05,0.00236308436819291,1,0,4.12018971291341e-05,1,0,0.102988317617538,0,0,0,0,0,0,0,1,0,0,0,0.0707363233825099
1,1,0,0,0.75,0,1,0,0,0.666666666666667,0,0,1,0,0.75,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0.5,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0.75,0,1,1,0,0.666666666666667,0,1,0,0,0.75,0,0,0,0,0,1,0,0,0,0,0,0.25
1,1,0,0,1,1,0,1,0,0.666666666666667,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
1,0,0,0,0.5,0,0,0.000108119976814823,0,0.333333333333333,0,0.000975790345949448,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.25
1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.25
1,0,0,0,1,0,0,0,0,0.333333333333333,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0.75
1,1,0,0,0.5,0,1,0,1,0.666666666666667,0,0,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0.75,0,0,0,0,0.333333333333333,0,0,1,0,0.75,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0.75,0,0,0,0,0.666666666666667,0,0,1,0,0.75,0,0,0,0,0,1,0,1,0,0,0,0.25
1,0,0,0,0.5,0,1,0,0,0.333333333333333,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.75,0,0,0,0,0.333333333333333,0,0,1,0,0.75,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0.5,0,1,0,0,0.333333333333333,0,0,1,0,0.25,0,0,0,0,0,1,0,0,0,0,0,0.25
1,1,0,1,0.75,1,0,0,1,0.333333333333333,0,0,0,0,0.75,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0.75,0,0,0,0,0.333333333333333,0,0,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0.75,0,1,0,1,0.333333333333333,0,0,1,0,0.75,0,0,0,0,0,1,0,0,0,0,0,0.25
1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
1,0,0,0,1,0,0,1,0,0.666666666666667,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,0,1,0,1,0,0,0,0,1,0,0,1,0,0.25,0,0,0,0,0,0,0,1,0,0,0,0.25
0,0,0,0,0.5,0,1,0,0,0.333333333333333,0,0,0,0,0.75,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0.5,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0.75,0,1,0,0,0,0,0,1,0,0.75,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0.25,0,0,1,0,0.333333333333333,0,0,1,0,0.75,0,0,0,0,0,1,0,0,0,0,0,0.25
0,0,0,0,0.5,0,1,0.00414251164180044,0,0.666666666666667,0,1.1438545278839e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,1,0,0.333333333333333,0,1,1,0,0.25,0,0,0,0,0,1,0,0,0,0,0,0.75
1,0,0,0,1,0,1,0.000220807037360736,1,1,0,9.58974940034192e-05,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.75
0,0,0,0,0.75,0,0,0,0,0.333333333333333,0,0,1,1,0.75,0,0,0,0,0,1,0,1,0,0,0,1
1,0,0,0,0.75,0,0,1,1,0.666666666666667,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0.25
1,1,0,0,0.75,1,0,1,0,0.666666666666667,0,1,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.25
